,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Incident type 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,
Outage_OIS_Number,Date,Time,Latitude,Longitude,Circuit Name,Type of Equipment Involved,Facility Identification,Voltage,Overhead/Underground,,,,,,,,,,,,,,,,
1161211,1/8/15,3:23:00 PM,37.36630999,-121.883169,SAN-JOSE-B-1112,Conductor,100566657,12000,UG,,,,,,,,,,,,,,,,
1162068,1/10/15,5:32:00 PM,38.089032,-122.208693,NORTH-TOWER-1104,Conductor,102217759,12000,OH,,,,,,,,,,,,,,,,
TR5390826,1/16/15,7:10:00 AM,38.775327,-122.700442,MIDDLETOWN-1101,Conductor,102167494,12000,OH,,,,,,,,,,,,,,,,
1168347,1/26/15,4:19:00 AM,37.05394,-122.15867,POINT-MORETTI-1101,Conductor,,12000,OH,,,,,,,,,,,,,,,,
1175142,2/6/15,1:11:00 PM,36.40321,-121.91088,OTTER-1101,Conductor,loadside of 40283,12000,OH,,,,,,,,,,,,,,,,
1181367,2/7/15,2:57:00 PM,38.08711999,-122.549629,IGNACIO-1104,Conductor,103598139,12000,OH,,,,,,,,,,,,,,,,
1181885,2/7/15,7:40:00 PM,40.46741,-123.65446,LOW-GAP-1101,Conductor,"mile marker 36.61, hwy 36, bridgeville",12000,OH,,,,,,,,,,,,,,,,
1190949,2/16/15,11:16:00 AM,37.35996,-120.852329,LIVINGSTON-1105,Conductor,101206051,12000,OH,,,,,,,,,,,,,,,,
1191774,2/17/15,4:47:00 PM,39.762835,-121.582683,PARADISE-1102,Conductor,100324934,12000,OH,,,,,,,,,,,,,,,,
1194071,2/22/15,1:22:00 PM,38.816,-122.1831767,MADISON-2101,Conductor,101592201,21000,OH,,,,,,,,,,,,,,,,
1194781,2/23/15,1:27:00 PM,38.50455,-122.74081,FULTON-1107,Conductor,BEHIND 4870 CARRIAGE LN SANTA ROSA,12000,OH,,,,,,,,,,,,,,,,
1194267,2/23/15,2:07:00 AM,39.302734,-121.01749,BRUNSWICK-1103,Conductor,100086316,12000,OH,,,,,,,,,,,,,,,,
1195537,2/25/15,2:08:00 AM,36.75618,-119.78001,MANCHESTER-1109,Fuse,100869017,12000,OH,,,,,,,,,,,,,,,,
1195893,2/25/15,3:03:00 PM,34.89209999,-120.503969,DIVIDE-1102,Conductor,,12000,OH,,,,,,,,,,,,,,,,
1199450,3/4/15,6:57:00 PM,38.99945,-122.75451,LUCERNE-1106,Conductor,102156367,12000,OH,,,,,,,,,,,,,,,,
1200510,3/7/15,12:22:00 PM,38.70909,-122.64837,MIDDLETOWN-1101,Conductor,"14417 western mine rd, Middletown",12000,OH,,,,,,,,,,,,,,,,
1203711,3/14/15,10:19:00 PM,36.89154,-121.71191,WATSONVILLE-2101,Conductor,103525395,21000,OH,,,,,,,,,,,,,,,,
1203405,3/14/15,2:42:00 AM,38.90381,-122.7579,KONOCTI-1102,Conductor,"9210 Wildcat Road, Kelseyville",12000,OH,,,,,,,,,,,,,,,,
1203533,3/14/15,2:18:00 PM,38.8252517,-121.1363233,PENRYN-1107,Conductor,100051369,12000,OH,,,,,,,,,,,,,,,,
1203748,3/15/15,3:52:00 AM,35.369325,-118.928035,MAGUNDEN-1105,Unknown,100216241,12000,OH,,,,,,,,,,,,,,,,
1203958,3/15/15,11:14:00 PM,38.33456999,-120.532529,WEST-POINT-1102,Conductor,103106530,12000,OH,,,,,,,,,,,,,,,,
1203749,3/15/15,2:28:00 AM,36.93396,-119.780215,CASSIDY-2108,Conductor,101121519,21000,OH,,,,,,,,,,,,,,,,
1205764,3/19/15,8:18:00 PM,37.84163,-122.12176,ROSSMOOR-1108,Conductor,100498544,12000,OH,,,,,,,,,,,,,,,,
1206311,3/21/15,11:27:00 AM,36.56658,-121.51428,SPENCE-1122,Conductor,101758338,12000,OH,,,,,,,,,,,,,,,,
