,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Transmission Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-Line Area,kV,SAP Functional Location,LINE NO,T-LINE NAME,Fire Index Area (FIA),Location(s) of ET-Wire Down,High Fire Threat District (HFTD),YEAR,Date Out,Major Event Day,Red Flag Day,Failure during Red Flag Warning (RFW) Hours?,Auto Reclose Disabled,Duration (hr:min),Date In,Cause Category,Cause Details,Comments,Event Report,TOTL Reference Number,Customers Affected,Customers Experiencing Sustained Outage,Customer Outage Minutes,SAIFI Contribution,SAIDI Contribution,CAIDI,System Customer Count,Fault Type,Fault Location,Ignition
NORTH,60,ETL.6610,60053,CORTINA #4,0,"B15/253, 014/234",Non-HFTD,2015,01/12/2015 11:55,No,No,NO,No,11:26,01/12/2015 23:21,External Contact,Car pole,"Relayed - 01/12/15, 1155 Cortina #4-60kV relayed, tested NG; SUS Maxwell (1,136, 124,417) & Rice (1,002, 18.036); weather clear; 1212 Rice restored from alternate source; PG&E phase AC to ground, 14.8 mi from Cortina near structure 14/234 (+/- 0.5 mi); 1327 Cortina-Colusa returned to service restoring Maxwell; 1336 to 2321 MaxwellJct-Delevan cleared to replace damaged pole B-15/253 due to car pole; ET wire down",10835,TM-2015-002,"2,138","2,138","142,453",0.0004,0.026,67,"5,446,629",NA,NA,No
NORTH,60,ETL.7030,60098,HAT CREEK #1-WESTWOOD,249; 250; 262; 290,"018/349, 018/351, 025/484, 025/487, 025/489, 026/510 to 026/512, 026/514 to 026/518, 027/520 to 027/527, 027/530, 032/621 to 032/627 & 032/632, 038/748, 039/751, 039/765, 040/766, 040/768, 040/770 to 040/773, 040/776, 040/768",Tier 2 - Elevated,2015,02/06/2015 00:24,YES,No,NO,No,118:04,02/10/2015 22:28,Tree,Tree failure,"Relayed - 02/06/15, 0024 HatCreek #1-Westwood 60kV relayed, tested NG; SUS MegaHatCreek , Halls Flat & Bogard (9); storm; 0356 HatCreek #1-Bogard manually tested NG to open Bogard SW-37; 0401 Westwood-Bogard manually tested NG to open Bogard SW-37, hence trouble on both sides of Bogard SW-37; trees down in line affecting multiple structures; 02/10/15, 0101 HatCreek #1-Bogard returned to service restoring MegaHatCreek, Halls Flat & Bogard after crews made repairs to poles: 18/349, 18/351, 25/484, 25/487, 25/489, 26/510 to 26/512, 26/514 to 26/518, 27/520 to 27/527, 27/530, 32/621 to 32/627 & 32/632; 1908 Bogard-Westwood cleared to repair poles: 38/748, 39/751, 39/765, 40/766, 40/768, 40/770 to 40/773, 40/776, 40/768; 2228 line returned normal",10912,RM-2015-006,9,9,"52,209",0.0000,0.010,"5,801","5,446,629",NA,NA,No
NORTH,60,ETL.6980,60093,GUALALA-MONTE RIO,0; 140,"050/002, 053/009 & 054/000",Tier 2 - Elevated,2015,02/06/2015 08:14,YES,No,NO,No,10:50,02/06/2015 19:04,Tree,Tree failure,"Relayed - 02/06/15, 0814 Gualala-MonteRio 60kV relayed, tested NG; MonteRio-FtRoss tested OK; Gualala transferred on trouble to its alt source; MOM FtRoss (637), SalmonCreek (1,720) & Gualala (3,710); SUS Annapolis (230); storm;; fault ABC, 36 mi from MonteRio near pole 50/2 (+/- 1.0 mi); 0951 FtRoss-Annapolis energized restoring Annapolis; 1258 Annapolis-Gualala tested NG from the Elk source; MOM Garcia, PtArena & Gualala; 1514 found tree in line & all 3 phases are down on ground bet poles 53/9 & 54/0; Gualala-Annapolis has been cleared to make repairs; 1904 Gualala-Annapolis & line returned to service after crew repaired down conductor",10877,FU-2015-005,"6,297",216,"81,216",0.0000,0.015,376,"5,446,629",NA,NA,No
NORTH,500,ETL.6140,50021,VACA-TESLA,0,000/003-004,Non-HFTD,2015,02/06/2015 08:57,YES,No,NO,No,17:09,02/07/2015 02:06,Equipment Failure,Insulator-line,"Relayed - 02/06/15, 0857 Vaca-Tesla 500kV & Vaca 500/230kV BK12 relayed, did not test by design; no customer interruption; storm; 0935 line manually tested NG; C-G (relay B-G), 1 to 2 mi from VD; no bk diff or high side relay opn, only low side grd instantaneous-BK may be restored (BK overtrip similar to Gates & all bks under investigation & setting changes made as needed); 1046 BK12 returned to service, no trouble found; 1355 Vaca-Tesla cleared to repair broken insulator & re-attach conductor bet twrs 0/3-4; Vaca-Tesla 500kV line Series CAP BK2 at Vaca has a pole disagreement & close coil trouble; 02/07/15, 0206 line returned to service; 02/09/15, 1635 CAP BK2 returned to service, repaired pole disagreement alarm wiring",10888,VD-2015-011,0,0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
NORTH,60,ETL.6300,60018,CARIBOU-WESTWOOD,285; 290,"018/366, 006/126-130, 002/035-040, 009/187-189, 009/202, 018/364 & 018/365 & 018/368 thru 018/371, 018/367",Tier 2 - Elevated,2015,02/06/2015 09:18,YES,No,NO,No,98:23,02/10/2015 11:41,Tree,Tree failure,"Relayed – 02/06/15, 0918 Caribou-Westwood relayed, tested NG; storm; SUS LMUD, BigMeadows (2,597), Chester (1,647), CollinsPine (offline) & HamiltonBranch (2,320); A- C fault 18.5 mi from Caribou PH bet HamBranch & UltraPwrJct near pole 018/366, +/- 1.5 mi; HatCreek #1-Westwood out so no back feed available; poles 6/126-130 need replacement; 02/08/15, 1822 Caribou-BigMeadows energized restoring BigMeadows, repaired NG splices & reframed poles bet 2/35-40; 2358 BigMeadows-HamBranch tested OK, reconnected conductor at pole 9/187, reframed poles 9/188-189; 02/09/15, 0011 HamBranch restored; 0026 HamBranch-Chester manually tested NG; 1021 HamBranch-Chester sect returned to service after crew removed tree limb @ pole 9/202 restoring Chester & CollinsPine; 02/09/15, 2210 HamBranch-Westwood sect returned to service making line normal after crews replaced pole 18/367, reframed poles 18/364 & 18/365 & 18/368 thru 18/371; 02/10/15, 1141 Caribou-Westwood has returned to service",11045,TM-2015-007,"5,753","5,753","23,442,069",0.0011,4.304,"4,075","5,446,629",NA,NA,No
NORTH,60,ETL.6490,60040,COLGATE-GRASS VALLEY,330,003/080-085,Tier 2 - Elevated,2015,02/06/2015 11:55,YES,No,NO,No,36:53,02/08/2015 00:48,Tree,Tree failure,"Relayed - 02/06/15, 1155 Colgate-GrassValley relayed, tested NG; MOM GrassValley (3,369 customers restored by autos via alt source Drum-GrassValley-Weimar); rain, wind; ABC fault 3.4 mi from ColgateSwSta near pole 003/081 (+/- 1 mi); tree thru line bet poles 3/81-82; pole 3/81 is broken & on ground, ET wire down bet 3/80-85; ETOR 02/07/15; 02/07/15, 2122 Colgate-BirchvilleJct work complete - replaced pole 3/81, reframed pole 3/82 & repaired down conductor between poles 3/80 and 3/85; 2143 line section remotely tested OK from GrassValley; 02/08/15, 0048 line returned to normal service; eventID=10886",10886,TM-2015-011,"3,369",0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
NORTH,60,ETL.6470,60038,COLGATE-ALLEGHANY,330; 350,"007/209, 010/283",Tier 3 - Extreme,2015,02/06/2015 12:34,YES,No,NO,No,12:22,02/07/2015 00:56,Tree,Tree failure,"Relayed - 02/06/15, 1234 Colgate-Alleghany relayed, tested NG after relaying, testing OK @ 1219; MOM ColumbiaHill (1,131) after Colgate-ColumbiaHill energized @ 1238; SUS PikeCity (437) & Alleghany (1,230); wind, rain; AB fault, 8 mi from ColgateSwSta bet ColumbiaHill & PikeCity near pole 007/209, +/- 2 mi; 1745 ColumbiaHill-PikeCity cleared to repair 3 phases of ET wire down at pole 10/283; 2353 CH-PC in service after repairing down conductor at 10/283; 02/07/15, 0056 PikeCity-Alleghany returned to service after patrol found no trouble, restoring Alleghany; 0106 PikeCity restored; eventID=10885",10885,TM-2015-013,"1,655","1,655","1,913,907",0.0003,0.351,"1,156","5,446,629",NA,NA,No
NORTH,60,ETL.7780,60390,PHILO JCT-ELK,0; 140; 154,024/000-001,Tier 2 - Elevated,2015,02/06/2015 16:06,YES,No,NO,No,29:41,02/07/2015 21:47,Tree,Tree failure,"Relayed - 02/06/15, 1606 PhiloJct-Elk 60kV relayed, tested NG; MOM Philo (2,163); wind, rain; ABC fault 23.8 mi from PhiloJct near pole 24/0, +/- 0.2 mi; found broken poles & ET wire down bet 24/1 & 24/0; 02/07/15, 2147 PhiloJct-Elk section returned to service after repair to downed conductor between poles 24/0-1; eventID=10878",10878,FU-2015-007,"2,163",0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
CENTRAL,60,ETL.7550,60151,MENDOCINO-WILLITS-FORT BRAGG,0; 140; 154,"034/001-002, 035/009",Tier 2 - Elevated,2015,02/06/2015 21:55,YES,No,NO,No,9:27,02/07/2015 07:22,Tree,Tree failure,"Relayed - 02/06/15, 2155 Mendo-Willits-FtBragg relayed, tested NG; SUS FtBragg (FB, 8,273); wind & rain; ABC fault 7 mi from FB near pole 35/9, +/- 3 mi; 02/07/15, 0722 line returned to service after crew repaired ET wire down bet poles 34/1-2 due to tree failure; 0728 FB restored; eventID=10879",10879,FU-2015-008,"7,502","7,502","4,253,634",0.0014,0.781,567,"5,446,629",NA,NA,No
NORTH,60,ETL.6470,60038,COLGATE-ALLEGHANY,330; 350,020/555 & 022/555,Tier 3 - Extreme,2015,02/07/2015 11:18,YES,No,NO,No,12:01,02/07/2015 23:19,Equipment Failure,Connector/ hardware,"Relayed - 02/07/15, 1118 Colgate-Alleghany 60kV relayed, tested NG; weather cloudy; 1122 Colgate-PikeCity manually tested OK; MOM (<5 mins) Columbia Hill (1,131) & PikeCity (437); SUS Alleghany (1,230); unconfirmed reports of wire down 6 poles from Pike City to Alleghany; fault location delayed: remote access dial up problems; 1207 reports of damage to pole 20/555; 1426 PlumValley-BuhlRanch cleared to re-attach conductor to pole 22/555; CLEAN BREAK AT JUMPER, CONDUCTOR x-PHASED, MADE CONTACT W/ POLE & STARTED A FIRE - POLE SNAPPED AS A RESULT; 2319 PlumValley-Alleghany returned to service restoring Alleghany; eventID=10883",10883,TM-2015-019,"2,798","1,230",TBD,TBD,TBD,TBD,"5,446,629",NA,NA,No
